rollup_timestamp	database	value
2019-02-23	8237bf33-d19c-4910-9206-c6d43f0b498f	546.0
2019-02-24	8237bf33-d19c-4910-9206-c6d43f0b498f	535.0
2019-02-25	8237bf33-d19c-4910-9206-c6d43f0b498f	512.0
2019-02-26	8237bf33-d19c-4910-9206-c6d43f0b498f	635.0
2019-02-27	8237bf33-d19c-4910-9206-c6d43f0b498f	815.0
2019-02-28	8237bf33-d19c-4910-9206-c6d43f0b498f	558.0
2019-03-01	8237bf33-d19c-4910-9206-c6d43f0b498f	487.0
2019-03-02	8237bf33-d19c-4910-9206-c6d43f0b498f	626.0
2019-03-03	8237bf33-d19c-4910-9206-c6d43f0b498f	49.0
2019-03-04	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2019-03-05	8237bf33-d19c-4910-9206-c6d43f0b498f	766.0
2019-03-06	8237bf33-d19c-4910-9206-c6d43f0b498f	681.0
2019-03-07	8237bf33-d19c-4910-9206-c6d43f0b498f	483.0
2019-03-08	8237bf33-d19c-4910-9206-c6d43f0b498f	56.0
2019-03-09	8237bf33-d19c-4910-9206-c6d43f0b498f	531.0
2019-03-10	8237bf33-d19c-4910-9206-c6d43f0b498f	565.0
2019-03-11	8237bf33-d19c-4910-9206-c6d43f0b498f	494.0
2019-03-12	8237bf33-d19c-4910-9206-c6d43f0b498f	623.0
2019-03-13	8237bf33-d19c-4910-9206-c6d43f0b498f	754.0
2019-03-14	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2019-03-15	8237bf33-d19c-4910-9206-c6d43f0b498f	498.0
2019-03-16	8237bf33-d19c-4910-9206-c6d43f0b498f	596.0
2019-03-17	8237bf33-d19c-4910-9206-c6d43f0b498f	505.0
2019-03-18	8237bf33-d19c-4910-9206-c6d43f0b498f	541.0
2019-03-19	8237bf33-d19c-4910-9206-c6d43f0b498f	761.0
2019-03-20	8237bf33-d19c-4910-9206-c6d43f0b498f	632.0
2019-03-21	8237bf33-d19c-4910-9206-c6d43f0b498f	501.0
2019-03-22	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2019-03-23	8237bf33-d19c-4910-9206-c6d43f0b498f	548.0
2019-03-24	8237bf33-d19c-4910-9206-c6d43f0b498f	541.0
2019-03-25	8237bf33-d19c-4910-9206-c6d43f0b498f	507.0
2019-03-26	8237bf33-d19c-4910-9206-c6d43f0b498f	628.0
2019-03-27	8237bf33-d19c-4910-9206-c6d43f0b498f	737.0
2019-03-28	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2019-03-29	8237bf33-d19c-4910-9206-c6d43f0b498f	5.0
2019-03-30	8237bf33-d19c-4910-9206-c6d43f0b498f	596.0
2019-03-31	8237bf33-d19c-4910-9206-c6d43f0b498f	505.0
2019-04-01	8237bf33-d19c-4910-9206-c6d43f0b498f	541.0
2019-04-02	8237bf33-d19c-4910-9206-c6d43f0b498f	742.0
2019-04-03	8237bf33-d19c-4910-9206-c6d43f0b498f	69.0
2019-04-04	8237bf33-d19c-4910-9206-c6d43f0b498f	487.0
2019-04-05	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2019-04-06	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2019-04-07	8237bf33-d19c-4910-9206-c6d43f0b498f	556.0
2019-04-08	8237bf33-d19c-4910-9206-c6d43f0b498f	5.0
2019-04-09	8237bf33-d19c-4910-9206-c6d43f0b498f	659.0
2019-04-10	8237bf33-d19c-4910-9206-c6d43f0b498f	773.0
2019-04-11	8237bf33-d19c-4910-9206-c6d43f0b498f	561.0
2019-04-12	8237bf33-d19c-4910-9206-c6d43f0b498f	487.0
2019-04-13	8237bf33-d19c-4910-9206-c6d43f0b498f	628.0
2019-04-14	8237bf33-d19c-4910-9206-c6d43f0b498f	502.0
2019-04-15	8237bf33-d19c-4910-9206-c6d43f0b498f	56.0
